"cod_causa_muerte_CIE10","total"
"X59",297
"W18",72
"Y83",68
"Y34",64
"W01",44
"W19",33
"Y26",22
"X70",16
"W80",15
"X74",13
"Y20",12
"X09",9
"Y24",8
"V89",6
"X47",6
"Y17",6
"W84",5
"Y86",5
"V03",4
"V43",4
"V48",3
"W10",3
"W44",3
"W79",3
"X00",3
"X02",3
"X31",3
"Y09",3
"Y14",3
"V02",2
"V12",2
"V13",2
"V23",2
"V44",2
"W06",2
"W78",2
"X80",2
"X95",2
"Y21",2
"Y84",2
"V09",1
"W14",1
"W15",1
"W24",1
"W32",1
"W49",1
"W54",1
"W74",1
"X08",1
"X16",1
"X44",1
"X57",1
"X68",1
"X96",1
"X97",1
"X99",1
"Y04",1
"Y11",1
"Y12",1
"Y57",1
"Y71",1
"Y79",1
